6301 2
586 -0.9874213 0.52799094
979 -0.9679665 -0.05952791
412 -0.9705286 -0.3150749
191 -1.0013291 0.29418588
2524 -0.91805816 -0.30913505
924 -1.2116449 0.998423
1956 -0.9433389 -0.13890822
1143 -1.0986047 0.70688725
21 -0.9621298 -0.38847458
5545 -0.98270637 -0.75095683
5291 -2.2836165 -3.571508
265 -1.7987556 1.9321282
3849 -1.2126813 0.8936553
2500 -1.0571544 -1.1482556
3813 -0.9892226 -0.52051276
1462 -2.6742666 3.2229722
2948 -0.9490889 -0.13928564
132 -1.1251695 0.86973166
257 -1.0018445 0.54142445
823 -0.9461276 0.0512291
922 -1.6561841 1.8750153
458 -0.9425111 -0.4906494
5775 -1.0364273 -1.081275
732 -0.9128832 0.08720325
63 -0.99953777 -0.8554099
1297 -0.9711393 0.3009499
962 -0.9636984 -0.03397603
289 -0.9384783 -0.042705353
2086 -0.966892 -0.0828372
1842 -1.0293983 0.5481545
110 -0.9456764 -0.22985399
1246 -1.2449774 1.0873076
2269 -0.9933933 -0.8492848
503 -0.9161151 -0.17531832
385 -0.9877603 0.13888578
2360 -0.9221749 -0.29544944
326 -1.341548 1.3528725
2285 -0.94595534 0.13450323
4285 -0.9709281 -0.69072956
1084 -0.97958446 0.27997383
1670 -0.93718594 -0.3198498
1001 -0.9990321 -0.7338762
2425 -1.0188516 -0.9158991
1476 -0.9609112 -0.09969608
1881 -0.9764854 -0.10874923
3781 -0.9809765 0.10584693
736 -1.1500759 0.89612645
531 -0.9167898 -0.058380626
1400 -1.216721 1.0694396
908 -0.96944463 -0.05200835
2114 -1.0035402 -0.058291055
2690 -0.93762887 -0.24186131
2069 -0.9774114 -0.13497569
102 -0.95963466 0.08909176
1383 -0.990547 -0.2196658
478 -0.9897601 0.21284592
1412 -1.1833515 0.98368365
5887 -0.9290004 0.011785861
1181 -2.7792737 -4.222178
1273 -0.96195495 -0.06426558
3156 -1.0896245 -1.1134752
3140 -0.98210496 -0.4205333
3441 -0.9968497 -0.69227374
2322 -0.9383448 -0.10788626
3149 -0.92202324 -0.16960754
327 -0.92353624 -0.25154623
1466 -0.90842324 -0.00036830726
3822 -0.9829077 -0.62507385
5347 -0.8849866 -0.12684312
2906 -0.9019797 -0.24026342
2862 -0.9632548 -0.24313918
1926 -0.94794494 -0.1955465
753 -1.7311031 1.8521565
1972 -0.90984106 -0.03396039
1030 -1.0405049 -1.1162165
1974 -1.0419536 0.4307572
1163 -1.1450329 -1.453205
1454 -0.9649185 -0.07586919
469 -0.9703102 -0.54729843
3566 -0.90500176 -0.45545948
307 -0.9305751 -0.3806847
2693 -0.99762094 -0.9954362
494 -0.98315835 -0.06054964
5373 -1.2000799 -1.7221904
707 -0.96743315 -0.45604122
303 -0.97883284 0.073964335
2593 -0.9511954 -0.28628024
1026 -1.0662522 0.52959675
769 -0.9197313 -0.18248807
1866 -1.126708 0.77640486
108 -0.979428 0.29779854
4478 -0.9403537 -0.71281636
472 -0.9536661 0.086409844
2411 -0.99749523 0.41919312
3930 -0.979115 -0.7582734
1168 -0.9566268 0.02878023
5251 -2.4813406 -3.854601
1402 -0.96208614 0.11148079
2288 -0.93115336 -0.2125538
1859 -0.9662762 -0.3145182
2362 -0.9105801 -0.46732092
416 -0.9562212 0.23268674
219 -1.0157591 0.21242714
3027 -0.9463848 0.15105824
246 -1.6484011 1.7086699
3594 -0.97861177 -0.40516227
169 -0.908955 -0.34703535
2039 -0.9365892 -0.34322193
1573 -0.9697754 -0.267814
1636 -0.9404751 -0.73453796
3767 -0.9768904 -0.71563774
547 -0.97110194 -0.82560605
75 -0.959074 -0.20295323
3220 -1.0204134 0.26704192
1212 -0.9839852 0.116857484
113 -1.0466344 0.6648055
904 -0.9222261 -0.69963074
3699 -0.95461905 -0.0996124
3350 -0.9755718 -0.43400112
668 -1.0855535 -1.328971
2309 -0.9984095 -0.78074986
1287 -0.9608287 0.005109501
2292 -0.9335803 -0.066143535
178 -0.97249174 -0.059355263
1792 -0.96166193 -0.607521
977 -0.97131634 -0.45367154
3096 -0.9826624 -0.47594437
1441 -0.9847519 -0.1928532
1217 -1.0037936 -0.82995844
1377 -0.96551853 0.09985949
2345 -0.96966267 0.0831191
1620 -0.95014507 -0.72273517
4986 -1.0796463 -1.1688998
4654 -1.0215462 -1.1413741
2324 -0.9448492 -0.24776296
1882 -0.9451296 -0.3504837
1199 -1.1705054 0.9544373
1048 -0.91068345 -0.4604709
652 -0.9982414 0.24616322
3232 -0.9629804 -0.5336614
2358 -0.9863992 -0.19204994
92 -1.0073445 -0.70982987
1556 -0.961905 0.21154407
2314 -1.04827 -1.19234
2007 -1.120081 -1.3938496
440 -1.0613369 0.4211768
2091 -0.98699933 -0.4082616
346 -0.90377486 0.18581328
2498 -0.94704896 -0.62398577
5191 -1.2413341 -1.7491444
686 -0.97727466 -0.65949774
1868 -1.3126714 1.1575578
881 -0.93738055 -0.27661726
49 -1.0206856 0.10316868
918 -0.88504803 -0.09001727
1162 -0.97413117 -0.8437657
76 -1.0135386 -0.89962125
2201 -0.97675633 -0.6579936
1333 -0.9570609 -0.08533612
3014 -0.93592 -0.20021993
2278 -1.0178578 0.31799346
864 -0.96242386 -0.40532386
4754 -0.92481315 0.2630738
2868 -0.9528164 -0.04126279
813 -0.95981586 -0.27404618
4159 -0.9838593 -0.60676324
878 -0.9751598 -0.42983797
1506 -1.1578015 -1.38456
3016 -1.0001599 0.24024886
551 -0.97719276 -0.26399335
2666 -0.94648814 0.20740156
1923 -0.920161 -0.22069283
1267 -1.0339715 0.45055866
2847 -1.003427 -0.16405742
43 -0.95995146 0.062381946
1337 -0.9332512 -0.086648375
280 -0.93323135 0.138429
1019 -0.94019246 -0.34954694
5135 -1.2654214 1.2034135
1922 -0.95148534 -0.26145393
945 -0.9698217 -0.23107126
2663 -0.9600783 -0.21046731
967 -0.9532747 0.3461913
1362 -0.93015873 -0.22616498
2634 -0.9001555 -0.3765924
637 -0.9492181 -0.5284424
3138 -0.94678617 0.44542727
740 -1.0442367 0.4786918
3635 -0.9646293 0.10857432
1010 -0.9328167 -0.68474543
756 -0.9951964 0.19064687
1969 -0.9542208 0.114585206
490 -1.0033476 0.23265953
2112 -0.99158996 -0.5029522
1616 -1.3370457 -1.9888636
3797 -0.92193407 -0.6288802
165 -0.968442 0.1772851
544 -0.9353556 -0.7218482
1531 -0.9955152 0.2466008
1872 -0.99156505 -0.6138469
2719 -0.9366692 -0.052558083
1850 -0.97274053 -0.18251114
582 -0.9922109 -0.5331259
3733 -0.9553595 -0.5066908
1255 -1.0699049 0.64658606
1540 -0.98181546 -0.4976235
1504 -1.057076 0.7795014
2871 -0.9900069 0.011910419
3801 -0.9607906 -0.5102371
821 -0.9209528 -0.5859278
4293 -0.9278072 -0.17349015
1942 -0.98666143 -0.77805996
1250 -0.97197574 -0.4383956
2164 -1.0446541 -1.003774
4324 -0.9273808 -0.0013627271
2804 -0.9793153 0.13139763
866 -0.9395127 -0.121681176
255 -0.99010587 -0.6087717
4788 -0.93406653 -0.26342538
1857 -0.90953976 -0.31891125
3363 -0.9161614 -0.20195433
279 -0.9678852 0.13436271
4012 -0.98610264 -0.80234593
2898 -0.96220475 0.23203734
726 -0.8805733 0.05080585
4332 -0.99258065 -0.0061219116
2199 -0.9788877 -0.23875494
5211 -0.9379697 -0.25729078
4280 -0.98621035 -0.4803675
3179 -0.97774315 0.21956645
4574 -1.6158735 -2.4777248
341 -0.99543166 0.16264804
4295 -0.93890667 0.05771862
6279 -1.271885 -1.7751998
3100 -1.1005381 -1.2991209
2275 -0.9822706 -0.06622756
968 -0.9861735 -0.7534167
1590 -0.95794326 -0.5468264
759 -0.95118415 0.062953904
963 -0.99963266 -0.54253435
1522 -0.9721328 -0.11462186
4628 -0.9516357 -0.5863047
2325 -1.0278162 -0.97964436
5987 -0.97397137 0.10051543
81 -1.0110911 -0.7242322
982 -1.0263319 0.10142233
5729 -0.98961514 -0.95725524
3117 -0.94263524 -0.083686516
1390 -0.98253167 0.24532203
731 -1.0323768 0.34598264
2148 -0.9098011 -0.28479815
2823 -1.0648875 -1.1452434
3191 -0.9573544 0.14387159
1767 -1.0065435 -0.8310079
4189 -0.88770026 -0.10866042
1814 -0.95700616 -0.448148
3926 -0.99768716 -0.98129183
20 -1.1611375 0.8723538
2384 -0.99706733 0.34818077
356 -0.96236503 -0.10323406
3171 -0.9536184 0.014114963
3326 -1.0898438 -1.2131411
381 -0.9120275 -0.32997453
1458 -1.114477 0.9034351
3228 -0.9564557 -0.32008183
1279 -0.9912333 -0.42469835
4005 -0.9563731 -0.07497665
2399 -1.015761 0.3924432
4813 -1.0256455 0.33721042
3358 -0.9152176 0.27536845
2723 -0.9583013 -0.13258417
2381 -0.9548904 0.14217797
1338 -0.97240645 -0.4799048
1888 -0.9636977 -0.12839967
695 -1.034899 0.5891694
243 -1.0214267 0.43983063
4459 -1.0581769 -1.191604
4036 -0.94764906 -0.10885683
777 -0.9456492 -0.090585954
496 -0.9347127 0.037928913
750 -0.93883467 -0.07912495
4892 -1.1879898 -1.5530981
3409 -0.91092277 -0.33385384
1766 -0.9568753 -0.31708968
4183 -1.2114028 -1.669942
1734 -0.94398 -0.2828009
3247 -0.9517507 0.02777758
5254 -1.1413183 -1.5261611
3962 -0.97828865 0.0017519987
2974 -0.93912256 -0.23057269
253 -0.9507596 0.18259287
5759 -1.0084999 -1.0732503
910 -0.985209 0.10670925
1445 -1.5418347 1.7149991
548 -0.9731204 -0.08222575
1946 -0.97890556 -0.07123582
1765 -0.9837437 -0.27140278
2892 -1.0107236 0.41961324
1509 -0.96184886 -0.30644238
4940 -0.9800936 -0.43900782
3327 -0.9698487 0.29461733
703 -0.9300108 -0.17798737
2927 -1.0719084 -1.3041081
3616 -1.2002054 0.94224757
3046 -0.9789268 -0.7149757
3524 -1.0098338 -0.11384966
560 -1.0190753 -0.8281158
211 -0.9699898 -0.351165
267 -0.909054 -0.5906184
226 -1.1815705 1.0001549
2347 -1.0371125 -0.9613285
73 -1.0429071 0.5527723
576 -0.8978184 -0.19780515
2279 -0.95448333 0.2642037
1039 -0.93715924 -0.18872653
2231 -0.9187848 -0.17375857
3115 -0.9485462 -0.030174911
285 -0.9383016 0.03765638
1487 -1.361835 1.2223561
2635 -0.9090478 -0.33514136
1258 -1.3772308 1.2909331
1139 -1.0563797 0.47412324
3202 -1.0489821 -0.94454217
1027 -0.9758846 -0.68223673
3715 -1.0533938 0.5041159
610 -0.9789689 -0.81292635
3296 -0.98284596 -0.89231086
2055 -0.91427964 -0.015630158
32 -0.9781421 -0.11596127
3479 -0.97518855 -0.46254477
3160 -1.2027493 -1.7048244
4551 -0.9427518 -0.377939
684 -0.9657353 -0.8807909
858 -0.9991139 0.32499054
391 -1.3492454 1.2503369
2881 -1.2130519 1.0186676
2017 -0.90895253 -0.32957357
1940 -1.0393169 -0.8602914
411 -0.94118416 -0.455152
1637 -1.0504546 -0.9698433
2866 -1.0352523 -0.73505646
2038 -1.2359526 1.032318
162 -1.0001951 0.42139724
2420 -0.9918844 -0.6456607
2035 -0.99517107 0.061355352
2024 -0.99678344 -0.34678373
3120 -0.9485386 0.13255899
11 -1.0633534 0.4869657
83 -1.034904 0.6261698
4423 -0.9414247 0.031880934
311 -1.1335086 0.940469
4633 -1.0576352 -1.0283214
2581 -0.9257824 -0.14480588
4093 -1.0007507 -0.24887063
553 -1.2911891 1.1625522
1415 -0.95146483 -0.15558416
4081 -0.95033914 -0.52136505
1854 -0.9688431 0.09072402
3819 -0.9846671 -0.2815488
873 -0.90833986 -0.2047075
1772 -0.95821905 -0.7188267
2569 -0.93354243 -0.23364936
4793 -0.900794 -0.03238496
3433 -0.93414646 0.003761597
1685 -0.9850065 -0.79930425
2654 -0.9761559 0.085541755
1343 -0.9748602 0.12755384
131 -1.0028709 -0.043802563
3405 -0.90577203 -0.11394189
2049 -0.9579217 -0.12542215
3846 -0.96364194 -0.69764066
2281 -0.89698964 0.13024533
1651 -1.0531117 0.48348358
1557 -1.0833373 0.5761043
3903 -0.98865324 -0.8160194
4617 -0.9048091 -0.29899243
837 -0.9564961 -0.33623058
2023 -0.9382099 0.105558746
572 -0.9936043 0.034689777
5653 -0.8676038 -0.84673065
3858 -0.9372805 -0.47180316
2615 -0.9319868 -0.114710644
4847 -0.92224365 -0.29637435
1945 -0.9314565 -0.21589598
700 -1.0482292 0.59886485
715 -0.9390222 -0.4733513
1896 -0.99959 0.23204593
2859 -0.97212183 -0.3640885
3555 -1.0446342 -1.168431
4369 -1.1003784 -1.445956
3463 -1.0892756 0.6375803
5754 -1.1760279 -1.442393
473 -0.9555401 -0.50095594
116 -0.9920411 0.32360262
4109 -0.9546887 -0.51367664
5110 -0.9067512 -0.7330276
5035 -1.5349653 -2.228944
2451 -0.96730876 -0.45779774
3285 -0.96365076 -0.29029915
208 -0.9739372 -0.32748577
3109 -0.9609516 -0.6486615
4344 -0.9331684 -0.46926174
868 -1.3258163 -2.018875
288 -0.9229292 -0.8433841
786 -0.9840012 0.29084504
3571 -0.9907641 0.36310798
1724 -0.9189718 -0.31238812
1313 -1.0071552 -0.46038076
886 -0.9731643 0.28069913
2798 -1.0378048 0.5129739
2698 -0.9930271 -0.41129422
2079 -0.93842274 0.04054003
5735 -1.076 -1.1641243
89 -0.95602554 -0.17915396
1165 -0.98551166 -0.68269545
229 -0.97582316 -0.22210254
4432 -1.0287962 -0.82946926
364 -1.0063313 -0.10537677
3081 -0.92788374 -0.23921874
3921 -0.9281899 -0.3203385
1797 -0.89902973 0.3861814
1396 -0.95456266 0.1670516
5804 -0.94741654 -0.3164365
5529 -0.9315875 -0.79787177
1669 -1.0080726 0.32925376
2391 -0.9950285 0.1406596
1434 -0.9908768 -0.17901929
1529 -0.98991746 -0.5620312
2761 -1.0191933 0.32261512
426 -1.7925994 1.9552076
1658 -0.98761094 -0.67558676
855 -1.2944695 1.1223165
859 -0.9656961 -0.7785714
5040 -1.0068405 -0.7241297
3912 -0.98570234 0.08536651
5788 -1.0034914 0.036046434
3067 -0.97655475 0.06045253
3823 -0.990249 -0.4586895
2721 -0.9869895 -0.6041201
1709 -0.98947936 0.16318242
1228 -0.9872284 0.39834702
1090 -1.0177785 -0.7668882
958 -0.8996028 -0.4132852
1251 -1.0529282 0.40638083
4137 -0.9478621 -0.085518494
3205 -1.0281522 -0.84262
3407 -0.9262331 -0.17100334
23 -0.9732842 -0.38019753
4510 -1.086627 -1.3306987
5073 -0.98742545 -0.699273
1917 -0.95510954 0.0054006637
1805 -0.9501589 0.0215806
902 -0.9280095 -0.06307119
141 -1.4729675 1.4372121
4359 -0.9880923 -0.39707094
380 -0.9631561 0.028485522
2826 -0.9585558 0.015365181
387 -0.91687965 -0.23464365
2486 -0.9521325 -0.13197029
2102 -1.133617 -1.3899581
2093 -0.9748273 -0.2559126
1198 -1.1019126 0.59955555
3654 -0.9482335 -0.09450245
5171 -0.9406483 -0.83657646
1173 -0.94344974 -0.40307748
2050 -0.94560814 -0.41272607
1750 -1.0333768 -0.8458245
1548 -0.9624357 -0.06254039
541 -1.1429682 -1.2827742
228 -0.9982746 -0.24645682
6004 -1.0443617 0.38681903
3257 -1.0321803 0.27100188
4724 -1.1585227 -1.4207045
2563 -0.95928293 -0.10024383
196 -1.1435825 0.95558053
2237 -1.0104908 0.2722242
1706 -1.4163496 1.3629344
4596 -1.5704081 -2.450208
2228 -0.93662155 0.15310042
2961 -0.9790204 0.23672074
3771 -1.0561283 0.53372866
2554 -1.0228442 0.23952785
1889 -0.9893322 0.0406008
111 -0.958511 -0.018233538
3312 -0.99488837 0.13644996
1547 -1.0223348 -0.3427657
2653 -0.9159242 -0.5894775
4516 -1.0858445 0.5256304
863 -1.0578187 -0.8180422
4004 -0.96659535 -0.5954082
350 -0.9607209 -0.03233107
3178 -0.8705867 -0.5921156
1278 -0.9639564 -0.28289673
1086 -1.038515 0.4437787
4158 -1.0638344 -0.7822922
331 -1.0300612 0.28367636
699 -1.0820922 0.68519306
1275 -0.9470749 -0.27064517
2735 -1.0700463 -0.9898224
1546 -1.0233531 -0.025914164
2988 -1.0038626 -0.87328094
1930 -0.9617769 -0.17412105
4825 -0.92107886 0.19454132
3468 -0.9457001 -0.20286846
3904 -0.9775397 0.15466155
2683 -0.98678803 -0.4613207
236 -1.2194396 0.99542755
3038 -0.9062856 -0.23747787
2080 -0.9427564 0.07821039
3798 -1.0152385 -0.79817927
3080 -1.0110803 0.19002497
4043 -0.90268826 0.18277572
3087 -1.0944812 -1.1572822
2181 -0.9417057 -0.1233222
5285 -1.3451365 -1.9148813
4583 -0.9487009 -0.7875497
4720 -0.9992001 -0.1688292
3550 -0.98482317 -0.19522426
5220 -1.0405172 -0.94844306
1717 -0.94449407 -0.14070463
846 -0.9661419 -0.506389
438 -0.9847796 -0.39967015
2997 -0.9165882 -0.11636478
1124 -0.9399783 -0.2903798
2942 -0.98149765 0.3784037
2094 -0.9562296 -0.28465095
820 -1.4726669 1.4470632
181 -1.1728324 0.8651037
2127 -0.99550456 -0.6426725
5510 -1.272184 1.0676647
484 -1.0190756 0.29902416
5976 -0.9645949 -0.32913566
1535 -0.9964176 0.36859107
2670 -1.2498944 1.0659816
3963 -1.0352352 -0.8972258
3003 -0.99135506 0.021789968
3190 -1.1601423 0.83724254
728 -1.0450946 0.40664703
679 -0.95558804 -0.30457118
2621 -1.4827102 1.4458408
2504 -1.056234 -1.2479111
3462 -1.0312293 -0.8113634
1733 -1.0527294 0.6344341
1533 -0.97291887 -0.22077507
2949 -0.93814933 0.05432346
386 -0.9637667 -0.04553536
2115 -0.953164 -0.1844018
2226 -0.97710574 0.15165384
532 -1.0271673 -0.54434997
926 -0.9791447 0.14803252
6050 -1.4275702 -2.0869641
4723 -0.9668825 -0.3799081
1941 -1.1658329 -1.4584675
2461 -1.0968981 0.7234793
3886 -0.97436184 -0.57936555
5793 -0.9861034 0.15748577
705 -1.2014478 0.85798043
1626 -0.9459317 -0.079838745
418 -1.1564094 -1.4847885
3982 -0.9979941 -0.15540665
3448 -1.3297338 1.1868443
1129 -1.1995075 0.9679757
3867 -0.96917665 -0.1635893
78 -1.0029029 -0.4524483
389 -0.9836658 -0.26314867
4846 -0.98370415 0.09867179
1081 -0.95183897 0.35192022
1647 -1.4512281 1.4134567
1235 -1.0845592 0.8123316
3726 -0.97975785 0.16283546
5432 -1.2252009 -1.6544448
4362 -0.95044786 0.2909512
3866 -1.005259 -0.3708105
33 -0.9502053 0.16976604
4338 -1.0216165 -0.8833671
1968 -0.93563956 -0.27854553
4068 -0.98156106 -0.7217256
4402 -0.98486274 -0.7213951
1067 -0.9214191 -0.33548927
1827 -0.94155484 -0.05942572
1714 -0.99169844 -0.028324984
1318 -0.9412042 -0.1549785
5177 -1.6497746 -2.4141834
3197 -0.9686432 -0.18197674
2156 -1.0573887 -1.1317194
4880 -0.9940973 -1.018328
2900 -1.227246 1.104825
1009 -1.278175 -1.8273935
1223 -0.9826645 -0.7878452
2333 -0.99123704 0.29613715
1025 -0.9882993 -0.45744216
3058 -1.1064868 0.8495671
1305 -1.153426 0.73708045
2053 -1.3204932 1.1794724
1821 -1.0020422 -0.80552053
3102 -0.92012495 -0.26819336
1227 -0.9990147 -0.49229848
942 -0.975192 0.09671735
4740 -0.95023227 -0.017589906
130 -0.98078877 -0.22135736
2293 -0.96176857 -0.20896341
2773 -0.95648086 -0.06562833
305 -1.0093517 -0.9163345
1687 -1.0600555 -1.167304
5106 -1.0608923 -1.065968
751 -1.1897905 0.9979197
1943 -0.938718 0.31177005
1004 -1.0018382 0.42695078
5528 -0.96426314 -0.753838
909 -1.4082221 1.3159221
160 -1.0202049 0.34166604
5016 -0.96763235 -0.38257736
5429 -0.9611067 -0.0629442
3539 -0.922685 -0.38505334
263 -1.0740972 0.72982275
1191 -0.87677205 -0.77802634
2875 -0.99620086 0.43149567
3716 -0.8711202 -0.14301097
3587 -1.0522234 0.28549257
2885 -1.351407 1.2353542
1385 -0.98707986 0.15070044
3690 -0.9870881 -0.26159313
2248 -0.9185727 -0.20979354
2532 -1.0203121 0.26947844
2597 -0.9400734 0.18270984
1666 -0.98750573 0.031922024
874 -1.0156643 0.29140422
1028 -0.95672446 0.099653766
5102 -1.062363 -0.9447471
3417 -1.4621289 1.4455591
3023 -0.84235483 0.10950979
1419 -0.9797968 -0.26395455
5315 -1.2214304 -1.6330878
870 -0.9248464 -0.13766071
5378 -0.8985086 -0.63922065
771 -0.98384315 -0.021912972
3033 -0.90563464 -0.12130683
4746 -1.0296305 -0.7618135
1040 -0.99711746 0.21692176
6071 -0.8895463 -0.30352885
3315 -0.9102218 -0.4655523
1056 -1.0012983 0.15536413
4334 -0.94800174 -0.5708457
2831 -0.97837543 -0.24060787
1361 -0.9499586 -0.56274176
1818 -0.9612402 -0.60019815
965 -0.98725384 0.11323558
3305 -1.0520535 0.34124207
988 -0.9824799 -0.14682564
2143 -1.0317255 0.35073563
2657 -0.9255663 -0.34154904
4619 -0.9526207 -0.25972998
1158 -1.0469196 0.77481866
3259 -1.0236838 -0.7378021
5321 -0.9644275 -0.5079071
448 -0.985077 0.38494238
1243 -0.93989325 -0.40805256
3997 -1.054386 -1.0357984
3818 -0.91579276 -0.047855806
5492 -0.9599981 0.0044958154
5957 -0.907814 -0.40743592
4891 -0.97104675 -0.5516376
5565 -1.2530254 1.1773783
3833 -0.9389054 -0.065622896
5361 -0.9581667 -0.017566245
4487 -0.9758885 0.24878886
1511 -1.0240554 -0.74811465
4739 -0.9759108 -0.5914571
2575 -0.9817753 0.065866455
262 -0.972738 -0.07500621
1713 -1.0228422 -0.89295155
2354 -0.9926912 -0.72906756
1397 -1.0540738 0.5926339
3480 -0.9586847 -0.1486206
6165 -0.9851207 -0.19008766
2490 -1.3585807 1.3018826
244 -0.96743774 -0.11020211
4902 -1.0065094 -0.8330332
5167 -1.1149064 -1.3988104
1430 -1.5707458 1.6282674
6099 -1.0954648 -1.1962354
1694 -0.97761804 0.44534087
15 -1.4636667 1.4726964
479 -1.0966462 0.6385056
1600 -1.3916975 1.3259591
489 -0.9591971 -0.21499118
2088 -0.87868106 -0.11697167
5406 -0.9568646 0.006381005
4416 -0.9664551 -0.06262457
521 -0.9291425 -0.3424565
4539 -1.0628742 0.65400094
64 -0.9344152 0.00831777
3531 -1.0093778 -0.5863613
2375 -0.984111 -0.68526244
3152 -1.233461 1.0721477
2048 -1.0103333 -0.23406291
2356 -0.9838246 -0.65709615
4360 -1.1950184 -1.6667391
998 -0.91973937 -0.14738359
4180 -1.0165428 0.5554651
3986 -0.9691116 -0.34498054
3796 -0.91607904 -0.43295768
4216 -1.0246229 -0.12188892
5988 -1.2260176 0.9538593
5508 -0.9178232 -0.33444166
1232 -0.97419506 -0.35401344
135 -0.98077893 -0.71985584
2116 -1.1116005 -1.4178562
1229 -0.9624641 -0.54844904
3411 -0.9239022 -0.19013296
4213 -1.0450268 0.29780835
2888 -0.9937652 -0.584245
606 -0.98820305 0.11702155
950 -0.9992956 -0.74812764
1999 -1.0293605 0.45266947
198 -0.9485758 -0.36695465
3500 -1.2184837 -1.5263608
1328 -0.9916319 -0.5253478
2639 -0.97305304 -0.016285798
1063 -1.1307085 -1.3964418
5855 -1.1663564 -1.4205511
5195 -0.94272405 -0.6983092
1354 -1.0264672 0.24164365
355 -0.92571527 0.12276408
1650 -0.9919877 0.061009724
276 -1.1316131 -1.3254005
1209 -1.0175469 -0.9731645
298 -1.3095694 1.1354432
4469 -0.95703584 -0.23925237
5425 -0.93749344 -0.24324645
2617 -0.9930678 -0.20816448
659 -1.0039519 0.36497825
4438 -0.9338032 -0.14868985
734 -0.9959041 -1.0645456
77 -0.99074113 -0.76691496
2153 -1.0028447 0.3670179
4275 -1.5119357 1.5508476
3086 -0.94484884 -0.653729
392 -0.8905503 -0.33102247
3200 -0.95337445 -0.16574396
67 -1.0101591 0.115430355
898 -0.9962927 -0.7326366
2244 -0.94356525 -0.16723004
4095 -0.9241414 -0.1503444
5352 -1.0494118 0.5915545
2376 -0.9870298 -0.25116646
4458 -0.9828647 -0.8025791
5294 -1.1351959 -1.4918846
5626 -0.9998572 -0.74875635
6266 -1.4197417 -2.0332336
5820 -0.9718693 -0.072811745
2750 -1.4305426 1.4068114
1438 -0.98520666 -0.8731059
3056 -0.9837554 0.2735556
3304 -1.2922276 1.1446376
3408 -0.92647094 -0.3682521
4513 -1.1718253 -1.4505903
3066 -0.98446023 0.12881905
3732 -0.9512789 -0.4253149
2907 -0.99310696 0.34819707
